frame_id,class_name,x1,y1,x2,y2
0,player,1012,191,1125,315
0,ball,892,564,933,605
0,player,489,746,659,938
1,player,480,741,684,940
1,player,1021,191,1121,313
1,ball,869,635,901,660
2,player,487,739,697,940
2,player,1019,195,1107,313
2,ball,842,650,881,680
3,player,530,727,720,940
3,player,1012,195,1123,313
3,ball,813,680,847,712
4,player,571,716,752,940
4,ball,790,716,820,741
4,player,1026,195,1121,320
5,player,589,712,761,940
5,ball,765,752,797,780
5,player,1028,195,1114,324
6,player,589,714,808,943
6,player,1023,191,1116,329
6,ball,781,669,813,696
7,player,614,718,815,922
7,player,1021,191,1121,327
7,ball,797,598,829,632
8,player,636,725,838,913
8,player,1028,193,1123,327
8,ball,813,544,844,576
9,player,682,726,849,923
9,player,1032,196,1112,317
9,ball,834,491,853,510
10,player,712,712,869,919
10,player,1029,196,1116,317
10,ball,846,451,865,470
11,player,731,712,877,923
11,player,1031,198,1118,315
11,ball,856,419,872,439
12,player,753,705,897,918
12,player,1023,197,1114,311
12,ball,868,382,886,399
13,player,761,712,915,915
13,player,1023,191,1096,311
13,ball,877,363,891,378
14,player,786,716,926,922
14,player,1021,193,1087,313
14,ball,884,343,899,359
15,player,795,721,937,929
15,player,1012,195,1082,311
15,ball,892,326,909,340
16,player,806,716,942,929
16,player,1005,195,1087,318
16,ball,900,316,914,329
17,player,817,716,946,929
17,player,998,195,1078,315
17,ball,906,309,919,320
18,player,831,716,958,933
18,player,992,189,1073,313
18,ball,912,303,927,314
19,player,844,716,978,936
19,player,983,184,1069,311
19,ball,919,303,930,312
20,player,851,732,978,945
20,player,980,180,1073,306
20,ball,922,301,937,313
21,player,858,730,983,943
21,player,987,173,1071,304
21,ball,931,304,940,315
22,player,860,732,989,952
22,player,980,173,1071,300
22,ball,931,309,946,320
23,player,874,732,994,952
23,player,980,179,1071,299
23,ball,936,317,950,327
24,player,878,734,1005,961
24,player,976,180,1078,304
24,ball,940,303,952,314
25,player,890,743,1005,965
25,player,969,175,1069,297
25,ball,943,279,953,290
26,player,883,739,1005,967
26,player,987,173,1075,300
26,ball,943,261,954,271
27,player,890,743,1005,970
27,player,992,166,1073,297
27,ball,946,238,958,250
28,player,881,746,1008,972
28,player,980,161,1073,290
28,ball,943,230,955,242
29,player,872,750,1017,979
29,player,998,162,1071,290
29,ball,926,238,941,250
30,player,858,764,1014,979
30,player,998,159,1073,295
30,ball,902,250,921,264
31,player,856,773,1019,990
31,player,998,155,1082,290
31,ball,890,266,902,279
32,player,856,782,1021,997
32,player,1003,155,1082,290
32,ball,871,287,887,301
33,player,844,782,1019,997
33,player,1003,155,1080,290
33,ball,848,322,866,336
34,player,817,782,1017,990
34,player,1001,161,1080,288
34,ball,832,351,850,368
35,player,795,775,996,992
35,player,1001,164,1087,288
35,ball,816,391,832,405
36,player,756,766,942,990
36,player,1001,170,1089,290
36,ball,792,445,811,460
37,player,743,773,897,992
37,player,998,161,1080,288
37,ball,778,490,795,507
38,player,715,761,876,988
38,player,996,157,1073,288
38,ball,760,543,779,561
39,player,706,761,851,990
39,player,980,161,1064,288
39,ball,736,619,756,641
40,player,704,759,831,992
40,player,980,159,1051,286
40,ball,721,684,738,706
41,player,711,761,815,997
41,player,980,155,1046,290
41,ball,705,724,720,740
42,player,706,761,801,997
42,player,960,159,1048,297
42,ball,688,719,705,737
43,player,702,761,788,997
43,ball,677,723,691,737
43,player,958,168,1041,290
44,player,681,761,786,995
44,player,958,170,1041,290
44,ball,662,730,679,745
45,player,675,759,779,986
45,player,951,164,1041,295
45,ball,644,745,663,762
46,player,666,743,768,988
46,player,953,164,1037,295
46,ball,632,763,652,782
47,player,657,741,761,979
47,player,955,161,1037,290
47,ball,620,785,638,804
48,player,670,736,761,970
48,player,958,159,1046,288
48,ball,627,705,646,736
49,player,661,716,763,963
49,player,960,161,1041,288
49,ball,639,630,656,652
50,player,652,716,761,958
50,player,955,168,1051,284
50,ball,648,566,664,586
51,player,634,725,745,961
51,player,962,175,1051,288
51,ball,656,500,672,517
52,player,634,725,740,958
52,player,951,173,1048,281
52,ball,662,462,676,479
53,player,616,732,731,970
